"Annot","Term","Annotated","Significant","RichFactor","FoldEnrichment","zscore","Pvalue","Padj","GeneID","ko","Level3","Level2","Level1"
"04146","Peroxisome",87,5,0.0574712643678161,4.63645071403692,3.8153931919369,0.00445110440956137,0.521216327933366,"Eci3,Sod1,Gstk1,Abcd1,Pex2","04146","Peroxisome","Transport and catabolism","Cellular Processes"
"03010","Ribosome",331,10,0.0302114803625378,2.43728829076261,2.97601538815607,0.00805012500794824,0.521216327933366,"Rps25,Mrps18c,Mrpl27,Mrps5,Rps4x,Mrps10,Mrpl47,Mrpl23,Mrps9,Gm15501","03010","Ribosome","Translation","Genetic Information Processing"
"05010","Alzheimer disease",389,11,0.0282776349614396,2.28127677806341,2.88415851110957,0.00890968081937378,0.521216327933366,"Psma2,App,Slc11a2,Ndufv2,Hsd17b10,Ulk1,Wipi2,Ndufc2,Ndufb11,Wnt8b,Fzd5","05010","Alzheimer disease","Neurodegenerative disease","Human Diseases"
"05022","Pathways of neurodegeneration - multiple diseases",481,12,0.0249480249480249,2.01266301266301,2.54621321034087,0.0161745555295421,0.680976930618932,"Psma2,App,Sod1,Ndufv2,Hsd17b10,Ulk1,Wipi2,Ndufc2,Ndufb11,Dctn6,Wnt8b,Fzd5","05022","Pathways of neurodegeneration - multiple diseases","Neurodegenerative disease","Human Diseases"
"03050","Proteasome",47,3,0.0638297872340425,5.14941972920696,3.19387155439643,0.0203023142007965,0.680976930618932,"Psma2,Psme1,Psmb8","03050","Proteasome","Folding, sorting and degradation","Genetic Information Processing"
"00061","Fatty acid biosynthesis",19,2,0.105263157894737,8.49202551834131,3.6617143838846,0.0227189811051872,0.680976930618932,"Fasn,Mcat","00061","Fatty acid biosynthesis","Lipid metabolism","Metabolism"
"00071","Fatty acid degradation",52,3,0.0576923076923077,4.65428321678322,2.95928953161955,0.0264678238889922,0.680976930618932,"Gcdh,Eci3,Adh5","00071","Fatty acid degradation","Lipid metabolism","Metabolism"
"04666","Fc gamma R-mediated phagocytosis",94,4,0.0425531914893617,3.43294648613798,2.6542535957183,0.0292299077846702,0.680976930618932,"Pld2,Inppl1,Vav3,Pip5k1c","04666","Fc gamma R-mediated phagocytosis","Immune system","Organismal Systems"
"05162","Measles",145,5,0.0344827586206897,2.78187042842215,2.42023654769116,0.0341560348245778,0.680976930618932,"Cd3g,Traf3,Eif3h,Irf7,Cd3d","05162","Measles","Infectious disease: viral","Human Diseases"
"05016","Huntington disease",308,8,0.025974025974026,2.09543486816214,2.18552460219638,0.037639780587499,0.680976930618932,"Psma2,Sod1,Ndufv2,Ulk1,Wipi2,Ndufc2,Ndufb11,Dctn6","05016","Huntington disease","Neurodegenerative disease","Human Diseases"
"03015","mRNA surveillance pathway",105,4,0.0380952380952381,3.07330447330447,2.39182877013958,0.0413547213867229,0.680976930618932,"Magoh,Magohb,Upf1,Casc3","03015","mRNA surveillance pathway","Translation","Genetic Information Processing"
"01240","Biosynthesis of cofactors",154,5,0.0324675324675325,2.61929358520268,2.2676174182017,0.0425040281469368,0.680976930618932,"Nme4,Nme7,Coq7,Pdxk,Dhrs3","01240","Biosynthesis of cofactors","Global and overview maps","Metabolism"
"00601","Glycosphingolipid biosynthesis - lacto and neolacto series",27,2,0.0740740740740741,5.97586980920314,2.90016556844772,0.043739398877899,0.680976930618932,"Gcnt2,Fut2","00601","Glycosphingolipid biosynthesis - lacto and neolacto series","Glycan biosynthesis and metabolism","Metabolism"
"05014","Amyotrophic lateral sclerosis",376,9,0.023936170212766,1.93103239845261,2.05913643062327,0.0440103260684994,0.680976930618932,"Psma2,Sod1,Ndufv2,Ulk1,Wipi2,Ndufc2,Ndufb11,Dctn6,Ubqln2","05014","Amyotrophic lateral sclerosis","Neurodegenerative disease","Human Diseases"
