"Annot","Term","Annotated","Significant","RichFactor","FoldEnrichment","zscore","Pvalue","Padj","GeneID","ko","Level3","Level2","Level1","Description"
"04919","Thyroid hormone signaling pathway",120,12,0.1,3.97350746268657,5.26317627492745,4.75332793342049e-05,0.0146877833142693,"Akt2,Rxra,Mdm2,Ncoa1,Thrb,Bmp4,Pik3cb,Myh6,Prkcb,Myh7,Ep300,Actg1","04919","Thyroid hormone signaling pathway","Endocrine system","Organismal Systems","Thyroid hormone signaling pathway"
"04150","mTOR signaling pathway",158,13,0.0822784810126582,3.26934158322312,4.61744566725669,0.00017405741428996,0.0268918705077989,"Akt2,Nprl2,Wnt9b,Sgk1,Lrp5,Chuk,Wnt2b,Lrp6,Pik3cb,Prkcb,Irs1,Eif4b,Lamtor3","04150","mTOR signaling pathway","Signal transduction","Environmental Information Processing","mTOR signaling pathway"
"04350","TGF-beta signaling pathway",112,10,0.0892857142857143,3.54777452025586,4.35505189099893,0.000510417435894621,0.0525729958971459,"Acvr1b,Bmpr1a,Bmp4,Rock1,Smad7,Ski,Thsd4,Smad6,Gdf7,Ep300","04350","TGF-beta signaling pathway","Signal transduction","Environmental Information Processing","TGF-beta signaling pathway"
"05418","Fluid shear stress and atherosclerosis",149,11,0.0738255033557047,2.93346188520485,3.8187033530298,0.00134206646738132,0.0876270694341507,"Akt2,Hsp90aa1,Bmpr1a,Bmp4,Chuk,Il1r2,Pik3cb,Gstt2,Ccl12,Actg1,Kdr","05418","Fluid shear stress and atherosclerosis","Cardiovascular disease","Human Diseases","Fluid shear stress and atherosclerosis"
"04068","FoxO signaling pathway",133,10,0.075187969924812,2.98759959600494,3.70604982938534,0.00192027646715246,0.0955506530402983,"Akt2,Il10,Sgk1,Mdm2,Bcl6,Chuk,Cat,Pik3cb,Ep300,Irs1","04068","FoxO signaling pathway","Signal transduction","Environmental Information Processing","FoxO signaling pathway"
"04151","PI3K-Akt signaling pathway",368,19,0.0516304347826087,2.05153917910448,3.29847738720761,0.00240558820074891,0.0955506530402983,"Vwf,Akt2,Rxra,Sgk1,Mdm2,Pik3cg,Hsp90aa1,Fgf10,Nr4a1,Pik3ap1,Chuk,Ibsp,Pdgfd,Pik3cb,Irs1,Eif4b,Kdr,Itga10,Gm2436","04151","PI3K-Akt signaling pathway","Signal transduction","Environmental Information Processing","PI3K-Akt signaling pathway"
"04960","Aldosterone-regulated sodium reabsorption",38,5,0.131578947368421,5.22829929300864,4.19528224709846,0.00247380331495918,0.0955506530402983,"Sgk1,Pik3cb,Sfn,Prkcb,Irs1","04960","Aldosterone-regulated sodium reabsorption","Excretory system","Organismal Systems","Aldosterone-regulated sodium reabsorption"
"04814","Motor proteins",198,12,0.0606060606060606,2.40818634102216,3.21362813884962,0.00431349908118181,0.138022163890072,"Kif26a,Kif13a,Kif20b,Kif26b,Kif3b,Kif16b,Myh6,Cenpe,Myh7,Actg2,Actg1,Kifc1","04814","Motor proteins","Cell motility","Cellular Processes","Motor proteins"
"05225","Hepatocellular carcinoma",175,11,0.0628571428571429,2.49763326226013,3.20959355616981,0.00470780718506193,0.138022163890072,"Akt2,Wnt9b,Lrp5,Wnt2b,Lrp6,Brd7,Pik3cb,Gstt2,Prkcb,Actg1,Arid1b","05225","Hepatocellular carcinoma","Cancer: specific types","Human Diseases","Hepatocellular carcinoma"
"04929","GnRH secretion",63,6,0.0952380952380952,3.78429282160625,3.56123850419275,0.00491341036501874,0.138022163890072,"Akt2,Arrb1,Cacna1f,Pik3cb,Kiss1r,Prkcb","04929","GnRH secretion","Endocrine system","Organismal Systems","GnRH secretion"
"05215","Prostate cancer",107,8,0.0747663551401869,2.97084670107407,3.29203959746024,0.00551907100069548,0.142116078267909,"Akt2,Mdm2,Hsp90aa1,Chuk,Il1r2,Pdgfd,Pik3cb,Ep300","05215","Prostate cancer","Cancer: specific types","Human Diseases","Prostate cancer"
"04625","C-type lectin receptor signaling pathway",112,8,0.0714285714285714,2.83821961620469,3.14217045188897,0.00723474742118103,0.160583539282628,"Akt2,Il10,Mdm2,Chuk,Clec4e,Pik3cb,Ptgs2,Cd209b","04625","C-type lectin receptor signaling pathway","Immune system","Organismal Systems","C-type lectin receptor signaling pathway"
"04148","Efferocytosis",163,10,0.0613496932515337,2.43773463968501,2.972004308375,0.00814497081537455,0.160583539282628,"Axl,Rxra,Il10,Sgk1,Dusp4,Ptgs2,Lrp1,Dusp7,Timd4,Ano3","04148","Efferocytosis","Transport and catabolism","Cellular Processes","Efferocytosis"
