"Annot","Term","Annotated","Significant","RichFactor","FoldEnrichment","zscore","Pvalue","Padj","GeneID","ko","Level3","Level2","Level1","Description"
"04110","Cell cycle",157,30,0.191082802547771,3.05991092380633,6.71060511665674,2.95415562578299e-08,1.01918369089513e-05,"Ccne1,Dbf4,Ppp2cb,E2f3,E2f2,Fbxo5,Cdk1,Pttg1,Aurkb,Esco2,Ndc80,Cdca5,Knl1,Bub1,Ccna2,Ccne2,Hdac1,Anapc7,Chek2,Mcm7,Plk1,Ccnb2,Smad3,Ddx11,Ccnb1,Cdc25c,Espl1,Gm2423,Ccnd1,Ywhaq","04110","Cell cycle","Cell growth and death","Cellular Processes","Cell cycle"
"04814","Motor proteins",198,28,0.141414141414141,2.26454013822435,4.63531068095138,3.88385774246423e-05,0.00572120543715929,"Dynlt1c,Tubb5,Kif20a,Kif11,Actr10,Dnah12,Tuba1b,Dync2li1,Myo1f,Dctn4,Dync1i2,Kif2c,Kif22,Kif4,Myo5a,Kif15,Klc3,Kif14,Bicdl1,Kif21b,Dnali1,Cenpe,Kif7,Kif18b,Tubb2a,Myl9,Kifc1,Myh15","04814","Motor proteins","Cell motility","Cellular Processes","Motor proteins"
"04115","p53 signaling pathway",75,15,0.2,3.20270676691729,4.94037849228209,4.97496124970373e-05,0.00572120543715929,"Ccne1,Cdk1,Aifm2,Rrm2,Tnfrsf10b,Gtse1,Steap3,Cd82,Zmat3,Ccne2,Chek2,Casp3,Ccnb2,Ccnb1,Ccnd1","04115","p53 signaling pathway","Cell growth and death","Cellular Processes","p53 signaling pathway"
"04114","Oocyte meiosis",123,20,0.16260162601626,2.60382663977016,4.61711671888795,6.97679373863985e-05,0.00601748459957687,"Ccne1,Prkaca,Ppp2cb,Calm3,Fbxo5,Cdk1,Cpeb4,Pttg1,Adcy6,Btrc,Bub1,Ccne2,Anapc7,Plk1,Ccnb2,Ccnb1,Cdc25c,Espl1,Gm2423,Ywhaq","04114","Oocyte meiosis","Cell growth and death","Cellular Processes","Oocyte meiosis"
"00531","Glycosaminoglycan degradation",21,7,0.333333333333333,5.33784461152882,5.13511794492551,0.000192736752152823,0.0132988358985448,"Naglu,Sgsh,Galns,Hexa,Gusb,Idua,Arsb","00531","Glycosaminoglycan degradation","Glycan biosynthesis and metabolism","Metabolism","Glycosaminoglycan degradation"
"04142","Lysosome",136,20,0.147058823529412,2.35493144626272,4.10408174083939,0.000285494044344076,0.0164159075497843,"Tcirg1,Naglu,Psap,Sgsh,Man2b1,Galns,Ap4m1,Arsg,Ctsb,Slc11a2,Lipa,Hexa,Gusb,Atp6v0d2,Laptm5,Pla2g15,Idua,Ap1g2,Arsb,Cltb","04142","Lysosome","Transport and catabolism","Cellular Processes","Lysosome"
"05016","Huntington disease",308,34,0.11038961038961,1.76772776096084,3.52853063070331,0.000834525923183507,0.0404069404400206,"Tubb5,Psmc3,Polr2e,Ndufa12,Actr10,Vdac2,Ppif,Dnah12,Ap2m1,Sod1,Tuba1b,Cox7a2l,Dctn4,Psmd1,Creb3l1,Gpx7,Hdac1,Psmd9,Grin2b,Casp3,Ift57,Pik3c3,Ndufa13,Atg14,Psmd7,Hip1,Klc3,Dnali1,Mapk10,Cltb,Creb5,Tubb2a,Slc25a31,Nrbf2","05016","Huntington disease","Neurodegenerative disease","Human Diseases","Huntington disease"
"04974","Protein digestion and absorption",108,16,0.148148148148148,2.3723753829017,3.69944391856208,0.00103790231530524,0.0404069404400206,"Col6a1,Col18a1,Col1a1,Col5a3,Slc16a10,Col6a2,Col2a1,Col5a2,Col3a1,Col5a1,Col15a1,Col1a2,Atp1a1,Col16a1,Col6a3,Slc8a1","04974","Protein digestion and absorption","Digestive system","Organismal Systems","Protein digestion and absorption"
"05169","Epstein-Barr virus infection",229,27,0.117903930131004,1.88805857438356,3.50604956349244,0.00105409409843532,0.0404069404400206,"Ccne1,Psmc3,Irf9,Cd44,E2f3,E2f2,Map3k14,Snw1,Traf3,Syk,Nfkbie,Tapbp,Irf7,Psmd1,Traf5,Ccna2,Ccne2,Hdac1,Ikbkb,Casp3,Jak3,Tyk2,Psmd7,Ikbke,Mapk10,H2-Q10,Ccnd1","05169","Epstein-Barr virus infection","Infectious disease: viral","Human Diseases","Epstein-Barr virus infection"
"05166","Human T-cell leukemia virus 1 infection",247,28,0.11336032388664,1.81529938205838,3.34579804286849,0.00156881730404939,0.0508505320928409,"Itgb2,Ccne1,Prkaca,Ranbp1,E2f3,E2f2,Nfyb,Pttg1,Map3k14,Vdac2,Adcy6,Creb3l1,Ccna2,Ccne2,Anapc7,Chek2,Ltbr,Tnfrsf1a,Ikbkb,Jak3,Ccnb2,Smad3,Mapk10,Creb5,Espl1,H2-Q10,Slc25a31,Ccnd1","05166","Human T-cell leukemia virus 1 infection","Infectious disease: viral","Human Diseases","Human T-cell leukemia virus 1 infection"
