"Annot","Term","Annotated","Significant","RichFactor","FoldEnrichment","zscore","Pvalue","Padj","GeneID","ko","Level3","Level2","Level1","Description"
"04919","Thyroid hormone signaling pathway",120,12,0.1,4.19251968503937,5.49755112340622,2.81087464034834e-05,0.0086574938922729,"Akt2,Rxra,Mdm2,Ncoa1,Thrb,Bmp4,Pik3cb,Myh6,Prkcb,Myh7,Ep300,Actg1","04919","Thyroid hormone signaling pathway","Endocrine system","Organismal Systems","Thyroid hormone signaling pathway"
"04150","mTOR signaling pathway",158,13,0.0822784810126582,3.44954151300708,4.84890344971612,0.000101888914498923,0.0156908928328341,"Akt2,Nprl2,Wnt9b,Sgk1,Lrp5,Chuk,Wnt2b,Lrp6,Pik3cb,Prkcb,Irs1,Eif4b,Lamtor3","04150","mTOR signaling pathway","Signal transduction","Environmental Information Processing","mTOR signaling pathway"
"04350","TGF-beta signaling pathway",112,10,0.0892857142857143,3.74332114735658,4.5621105539481,0.00033417559596873,0.0343086945194563,"Acvr1b,Bmpr1a,Bmp4,Rock1,Smad7,Ski,Thsd4,Smad6,Gdf7,Ep300","04350","TGF-beta signaling pathway","Signal transduction","Environmental Information Processing","TGF-beta signaling pathway"
"05418","Fluid shear stress and atherosclerosis",149,11,0.0738255033557047,3.09514876076732,4.02579801848227,0.000868466020904046,0.0625562336299803,"Akt2,Hsp90aa1,Bmpr1a,Bmp4,Chuk,Il1r2,Pik3cb,Gstt2,Ccl12,Actg1,Kdr","05418","Fluid shear stress and atherosclerosis","Cardiovascular disease","Human Diseases","Fluid shear stress and atherosclerosis"
"04068","FoxO signaling pathway",133,10,0.075187969924812,3.15227043987923,3.90423549454177,0.0012883920407918,0.0625562336299803,"Akt2,Il10,Sgk1,Mdm2,Bcl6,Chuk,Cat,Pik3cb,Ep300,Irs1","04068","FoxO signaling pathway","Signal transduction","Environmental Information Processing","FoxO signaling pathway"
"04151","PI3K-Akt signaling pathway",368,19,0.0516304347826087,2.16461614173228,3.55408383320013,0.00129853488881409,0.0625562336299803,"Vwf,Akt2,Rxra,Sgk1,Mdm2,Pik3cg,Hsp90aa1,Fgf10,Nr4a1,Pik3ap1,Chuk,Ibsp,Pdgfd,Pik3cb,Irs1,Eif4b,Kdr,Itga10,Gm2436","04151","PI3K-Akt signaling pathway","Signal transduction","Environmental Information Processing","PI3K-Akt signaling pathway"
"04960","Aldosterone-regulated sodium reabsorption",38,5,0.131578947368421,5.51647326978864,4.35965093584959,0.00195740155788377,0.0753599599785252,"Sgk1,Pik3cb,Sfn,Prkcb,Irs1","04960","Aldosterone-regulated sodium reabsorption","Excretory system","Organismal Systems","Aldosterone-regulated sodium reabsorption"
"05225","Hepatocellular carcinoma",175,11,0.0628571428571429,2.63529808773903,3.40955971571859,0.00314008240595875,0.10746059789281,"Akt2,Wnt9b,Lrp5,Wnt2b,Lrp6,Brd7,Pik3cb,Gstt2,Prkcb,Actg1,Arid1b","05225","Hepatocellular carcinoma","Cancer: specific types","Human Diseases","Hepatocellular carcinoma"
"04929","GnRH secretion",63,6,0.0952380952380952,3.99287589051369,3.72418863431245,0.00378426742686237,0.112195686887162,"Akt2,Arrb1,Cacna1f,Pik3cb,Kiss1r,Prkcb","04929","GnRH secretion","Endocrine system","Organismal Systems","GnRH secretion"
"05215","Prostate cancer",107,8,0.0747663551401869,3.13459415703878,3.46884050656605,0.00400698881739865,0.112195686887162,"Akt2,Mdm2,Hsp90aa1,Chuk,Il1r2,Pdgfd,Pik3cb,Ep300","05215","Prostate cancer","Cancer: specific types","Human Diseases","Prostate cancer"
